url,beds,city,date,size,type,baths,price,neighborhood
https://www.99acres.com/residential-land-plot-for-sale-in-vaishnavi-urban-county-jigani-bangalore-south-89-sq-yard-to-140-sq-yard-npspid-X80116283,0,1,2025-02-19,799-1258 sqft,44,0,2317000.0,55
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-prestige-jindal-city-tumkur-road-bangalore-west-1085-sq-ft-spid-F79144279,2,1,2025-02-19,1085 sqft,6,2,12500000.0,202
https://www.99acres.com/sumadhura-capitol-residences-whitefield-bangalore-east-npxid-r433778,3,1,2025-02-19,1525-2150 sqft,18,0,23200000.0,215
https://www.99acres.com/provident-botanico-soukya-road-bangalore-east-npxid-r424433,2,1,2025-02-19,658-1003 sqft,9,0,889000.0,180
https://www.99acres.com/kvg-superior-kalkere-bangalore-south-npxid-r438820,2,1,2025-02-19,1179-1449 sqft,9,0,6483000.0,57
https://www.99acres.com/nambiar-district-25-sarjapur-road-bangalore-east-npxid-r432506,2,1,2025-02-19,1199-2484 sqft,12,0,15000000.0,151
https://www.99acres.com/mahaveer-celesse-yelahanka-bangalore-north-npxid-r263821,2,1,2025-02-19,794-1923 sqft,9,0,7518000.0,217
https://www.99acres.com/keya-life-by-the-lake-hebbal-bangalore-north-npxid-r178479,4,1,2025-02-19,0 sqft,28,0,39800000.0,47
https://www.99acres.com/amrutha-platinum-towers-whitefield-bangalore-east-npxid-r305417,2,1,2025-02-19,1006-1636 sqft,9,0,11100000.0,215
https://www.99acres.com/keya-spring-bannerghatta-road-bangalore-south-npxid-r401648,2,1,2025-02-19,1335-2700 sqft,12,0,15700000.0,10
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-trump-tower-sector-65-gurgaon-6050-sq-ft-r2-spid-I63419088,4,8,2025-02-19,6050 sqft,24,4,200000000.0,165
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-4200-sq-ft-spid-Y78047881,4,8,2025-02-19,4200 sqft,24,4,40100000.0,155
https://www.99acres.com/residential-land-plot-for-sale-in-rosewood-city-gurgaon-1000-sq-yard-spid-W80263135,0,8,2025-02-19T04:38:38.179Z,9000 sqft,44,0,249500000.0,143
