beds,city,date,size,type,baths,price,neighborhood,avg_size,total_rooms
0,13,2025-02-02,435 sqft,41,0,1100000.0,198,435.0,0
0,13,2025-02-02,2178 sqft,41,0,4000000.0,135,2178.0,0
0,13,2025-02-18,3950 sqft,41,0,13500000.0,199,3950.0,0
0,13,2025-02-18,2613 sqft,41,0,3600000.0,78,2613.0,0
0,13,2025-02-16,10000 sqft,41,0,53000000.0,96,10000.0,0
0,13,2025-02-15,5662 sqft,41,0,5460000.0,90,5662.0,0
0,13,2025-02-15,2178 sqft,41,0,3000000.0,199,2178.0,0
3,13,2025-02-12,3800 sqft,35,2,10000000.0,96,3800.0,5
0,4,2025-02-19,2874 sqft,44,0,1998000.0,185,2874.0,0
0,4,2025-02-19,1321 sqft,44,0,7678000.0,32,1321.0,0
2,4,2025-02-19,Varies,13,0,1240000.0,185,,2
4,4,2025-02-19,Varies,28,0,25100000.0,36,,4
2,4,2025-02-19,Varies,10,0,1500000.0,211,,2
2,4,2025-02-19,Varies,11,0,948000.0,185,,2
3,4,2025-02-19,Varies,21,0,23000000.0,33,,3
2,4,2025-02-19,Varies,12,0,880000.0,176,,2
0,4,2025-02-19,Varies,39,0,1859000.0,63,,0
3,4,2025-02-19,Varies,19,0,8232000.0,200,,3
0,22,2025-02-19,1503 sqft,44,0,2004000.0,128,1503.0,0
0,22,2025-02-19,1647 sqft,44,0,2196000.0,128,1647.0,0
4,22,2025-02-19,3258 - 4122 sqft,23,0,26700000.0,182,3690.0,4
0,22,2025-02-19,1215.46 - 2702.6 sqft,39,0,1350000.0,120,,0
0,22,2025-02-19,2124 - 7119 sqft,39,0,7552000.0,140,4621.5,0
2,22,2025-02-19,801.62 - 1108.17 sqft,9,2,5065000.0,38,,4
3,22,2025-02-19,2800 - 4000 sqft,18,0,0.0,132,3400.0,3
2,22,2025-02-19,1275 - 3141 sqft,9,0,0.0,190,2208.0,2
0,22,2025-02-19,4797 sqft,44,0,20000000.0,0,4797.0,0
0,11,2025-02-19T04:38:38.010Z,720 sqft,44,0,500000.0,94,720.0,0
0,11,2025-02-19T04:38:38.010Z,75075 sqft,44,0,10400000.0,206,75075.0,0
10,11,2025-02-19T04:38:38.010Z,2024 sqft,4,3,6500000.0,67,2024.0,13
0,11,2025-02-19T04:38:38.010Z,3375 sqft,44,0,11000000.0,45,3375.0,0
2,11,2025-02-19T04:38:38.010Z,3200 sqft,8,1,3000000.0,98,3200.0,3
0,11,2025-02-19T04:38:38.010Z,4319 sqft,44,0,2400000.0,1,4319.0,0
5,11,2025-02-19T04:38:38.010Z,2102 sqft,31,2,6700000.0,42,2102.0,7
2,11,2025-02-19T04:38:38.010Z,890 sqft,6,2,3500000.0,137,890.0,4
0,11,2025-02-19T04:38:38.010Z,7199 sqft,44,0,5000000.0,21,7199.0,0
0,11,2025-02-19T04:38:38.010Z,12239 sqft,44,0,6000000.0,34,12239.0,0
0,9,2025-02-19,1350 sqft,44,0,2400000.0,114,1350.0,0
3,9,2025-02-19,2713 sqft,16,4,13600000.0,102,2713.0,7
2,9,2025-02-19,Varies,12,2,10000000.0,193,,4
2,9,2025-02-19,Varies,9,2,9305000.0,193,,4
2,9,2025-02-19,Varies,9,2,9582000.0,91,,4
3,9,2025-02-19,Varies,18,3,12600000.0,71,,6
2,9,2025-02-19,Varies,9,2,6756000.0,15,,4
